id,name,test_horse_flag,level,clazz,affiliation,lank,ground,distance,father,mother,sex,strategy,big_flag,growth,growth_type,color,h_color,h_mask,s_roll,power,turbo,dexterous,corner,rack,character,nature,popularity,caution_horse,speed,stamina,race_entry_type
int,string,boolean,byte,byte,byte,byte,byte,byte,string,string,byte,byte,byte,short,byte,byte,long,byte,byte,short,short,short,byte,short,short,short,short,boolean,short,short,byte
1,アーヴェイ,FALSE,4,3 ,20 ,7 ,3 ,3 ,デインヒルダンサー,Anna Amalia,2 ,3 ,0 ,44 ,0 ,3 ,1879060993 ,-1 ,-1 ,64 ,54 ,54 ,3 ,54 ,56 ,65 ,74 ,FALSE,155 ,135 ,0 
2,アータックス,FALSE,7,3 ,20 ,8 ,2 ,2 ,マーケトリー,Raging Apalachee,1 ,1 ,0 ,65 ,0 ,4 ,11 ,-1 ,-1 ,82 ,73 ,88 ,3 ,78 ,59 ,90 ,81 ,FALSE,170 ,112 ,20 
3,アーネストリー,FALSE,5,0 ,1 ,8 ,1 ,4 ,グラスワンダー,レットルダムール,1 ,2 ,0 ,92 ,0 ,3 ,1886472263 ,-1 ,-1 ,52 ,68 ,74 ,3 ,68 ,42 ,78 ,69 ,FALSE,143 ,121 ,0 
4,アーバニティ,FALSE,3,0 ,1 ,6 ,1 ,1 ,マンハッタンカフェ,レガシーオブストレングス,1 ,3 ,0 ,105 ,0 ,4 ,1881257011 ,-1 ,-1 ,30 ,95 ,40 ,1 ,62 ,39 ,77 ,61 ,FALSE,154 ,75 ,0 
5,アーバンシー,FALSE,7,3 ,10 ,8 ,1 ,4 ,ミスワキ,Allegretta,2 ,2 ,0 ,43 ,0 ,5 ,1879070771 ,-1 ,-1 ,75 ,28 ,89 ,3 ,90 ,45 ,83 ,84 ,FALSE,156 ,180 ,0 
6,アーバンストリート,FALSE,2,5 ,2 ,6 ,3 ,1 ,スウェプトオーヴァーボード,タイキクリスティー,1 ,1 ,0 ,114 ,0 ,2 ,1879069267 ,-1 ,-1 ,55 ,98 ,39 ,3 ,65 ,32 ,44 ,64 ,FALSE,154 ,75 ,0 
7,アーリーロブスト,FALSE,1,5 ,2 ,6 ,3 ,3 ,バブルガムフェロー,クワイエットアース,1 ,4 ,0 ,117 ,0 ,3 ,1884293381 ,-1 ,-1 ,54 ,79 ,53 ,2 ,66 ,47 ,99 ,67 ,FALSE,127 ,130 ,0 
8,アイアムアクトレス,FALSE,1,0 ,1 ,6 ,2 ,2 ,アグネスタキオン,アイアムザウィナー,2 ,2 ,0 ,31 ,0 ,3 ,1883243092 ,-1 ,-1 ,77 ,80 ,46 ,1 ,50 ,35 ,75 ,65 ,FALSE,138 ,109 ,0 
9,アイアムカミノマゴ,FALSE,3,0 ,1 ,7 ,1 ,1 ,アグネスタキオン,アイアムザウィナー,2 ,4 ,0 ,73 ,0 ,3 ,1890890854 ,-1 ,-1 ,37 ,99 ,37 ,3 ,57 ,48 ,94 ,71 ,FALSE,151 ,82 ,0 
